================================================================================
                          STRATEGY BACKTEST REPORT                              
================================================================================
Initial Balance:  $   1000.00
Final Balance:    $ -62323.18
Net Profit/Loss:  $ -63323.18 (-6332.32%)
Win Rate:         29.58%
Max Drawdown:     6332.32%
Total Trades:     524
================================================================================

DETAILED TRADE LOG:
--------------------------------------------------------------------------------
ID    Side   Entry Time         Entry Index   Entry Price   Exit Time          Exit Index   Exit Price   PnL
1     LONG   2025-12-31 23:00   124           87601.67      2026-01-01 01:00   171          87659.02     +57.35
2     LONG   2026-01-01 01:00   185           87659.02      2026-01-01 02:00   203          87643.80     -15.22
3     LONG   2026-01-01 02:00   217           87643.80      2026-01-01 05:00   305          87867.46     +223.66
4     LONG   2026-01-01 06:00   341           88020.00      2026-01-01 07:00   378          87942.62     -77.38
5     LONG   2026-01-01 09:00   469           87963.31      2026-01-01 11:00   536          87982.79     +19.48
6     LONG   2026-01-01 12:00   578           88320.00      2026-01-01 13:00   621          88200.00     -120.00
7     LONG   2026-01-01 14:00   665           88393.50      2026-01-01 15:00   710          88262.11     -131.39
8     LONG   2026-01-01 16:00   756           88385.55      2026-01-01 19:00   900          88832.42     +446.87
9     LONG   2026-01-01 21:00   1015          88635.34      2026-01-01 23:00   1106         88638.64     +3.30
10    LONG   2026-01-02 00:00   1174          88756.18      2026-01-02 02:00   1271         88858.35     +102.17
11    LONG   2026-01-02 03:00   1328          89175.18      2026-01-02 06:00   1505         89494.60     +319.42
12    LONG   2026-01-02 07:00   1580          89400.01      2026-01-02 08:00   1628         89343.98     -56.03
13    LONG   2026-01-02 08:00   1642          89343.98      2026-01-02 10:00   1755         89409.52     +65.54
14    LONG   2026-01-02 11:00   1820          90370.45      2026-01-02 12:00   1886         90350.00     -20.45
15    LONG   2026-01-02 14:00   2035          89888.54      2026-01-02 15:00   2090         89735.90     -152.64
16    LONG   2026-01-02 16:00   2160          90050.01      2026-01-02 18:00   2303         89987.72     -62.29
17    LONG   2026-01-02 19:00   2376          90150.00      2026-01-02 22:00   2601         90317.02     +167.02
18    LONG   2026-01-02 23:00   2692          90168.58      2026-01-03 00:00   2756         90034.91     -133.67
19    LONG   2026-01-03 00:00   2770          90034.91      2026-01-03 01:00   2835         89837.00     -197.91
20    LONG   2026-01-03 01:00   2849          89837.00      2026-01-03 02:00   2915         89570.87     -266.13
21    LONG   2026-01-03 02:00   2929          89570.87      2026-01-03 05:00   3161         89747.20     +176.33
22    LONG   2026-01-03 06:00   3259          89743.72      2026-01-03 08:00   3416         89996.55     +252.83
23    LONG   2026-01-03 09:00   3503          90119.50      2026-01-03 10:00   3591         89961.90     -157.60
24    LONG   2026-01-03 11:00   3680          90102.36      2026-01-03 12:00   3770         90090.00     -12.36
25    LONG   2026-01-03 13:00   3861          90135.91      2026-01-03 14:00   3953         90124.35     -11.56
26    LONG   2026-01-03 15:00   4046          90370.00      2026-01-03 18:00   4331         90630.25     +260.25
27    LONG   2026-01-03 18:00   4345          90630.25      2026-01-03 20:00   4526         91223.44     +593.19
28    LONG   2026-01-03 21:00   4639          91128.52      2026-01-04 01:00   5031         91223.67     +95.15
29    LONG   2026-01-04 02:00   5135          91525.40      2026-01-04 03:00   5240         91370.75     -154.65
30    LONG   2026-01-04 04:00   5346          91453.63      2026-01-04 06:00   5561         91300.77     -152.86
31    LONG   2026-01-04 07:00   5684          91144.33      2026-01-04 10:00   6003         91328.77     +184.44
32    LONG   2026-01-04 12:00   6230          91339.82      2026-01-04 13:00   6345         91201.53     -138.29
33    LONG   2026-01-04 14:00   6475          91140.47      2026-01-04 16:00   6696         91282.81     +142.34
34    LONG   2026-01-04 17:00   6829          91220.01      2026-01-04 22:00   7425         92877.33     +1657.32
35    LONG   2026-01-04 23:00   7564          92597.23      2026-01-05 00:00   7676         92355.96     -241.27
36    LONG   2026-01-05 00:00   7690          92355.96      2026-01-05 03:00   8060         92474.25     +118.29
37    LONG   2026-01-05 04:00   8190          92680.97      2026-01-05 07:00   8586         92876.39     +195.42
38    LONG   2026-01-05 08:00   8734          92739.26      2026-01-05 11:00   9128         93682.00     +942.74
39    LONG   2026-01-05 12:00   9266          94304.07      2026-01-05 14:00   9545         94280.01     -24.06
40    LONG   2026-01-05 16:00   9842          94085.10      2026-01-05 18:00   10115        93860.89     -224.21
41    LONG   2026-01-05 19:00   10274         93810.50      2026-01-05 21:00   10553        93618.25     -192.25
